分类: 🌎加拿大体育, 名称: Sportsnet West CA, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 96 ms, 最高速率: 5.06 M/s, 平均速率: 5.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎加拿大体育, 名称: Sportsnet East CA, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 153 ms, 最高速率: 3.35 M/s, 平均速率: 3.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎加拿大体育, 名称: Sportsnet Pacific CA, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 103 ms, 最高速率: 16.90 M/s, 平均速率: 16.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎加拿大体育, 名称: Sportsnet 360 CA, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 158 ms, 最高速率: 8.15 M/s, 平均速率: 8.15 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎加拿大体育, 名称: Sportsnet ONE CA, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 190 ms, 最高速率: 9.64 M/s, 平均速率: 9.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎加拿大体育, 名称: Sportsnet World CA, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 41 ms, 最高速率: 5.52 M/s, 平均速率: 5.52 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Main Event UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 49 ms, 最高速率: 9.36 M/s, 平均速率: 9.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Premier League UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 40 ms, 最高速率: 4.27 M/s, 平均速率: 4.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports News UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 41 ms, 最高速率: 6.51 M/s, 平均速率: 6.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎英国体育, 名称: Sky Sports Football UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 87 ms, 最高速率: 3.75 M/s, 平均速率: 3.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
