🕘️更新时间,#genre#
TNT Sports 4 UK,http://192.168.3.53:8080/hls/4715950525125128183.m3u8

英国电影,#genre#
Sky Cinema Premiere UK,http://192.168.3.53:8080/hls/-7480412356755471961.m3u8
Sky Cinema Select UK,http://192.168.3.53:8080/hls/7902409077990141319.m3u8
Sky Cinema Hits UK,http://192.168.3.53:8080/hls/-8064921669340311974.m3u8
Sky Cinema Greats UK,http://192.168.3.53:8080/hls/-2550359280183464843.m3u8
Sky Cinema Family UK,http://192.168.3.53:8080/hls/4634089221595495472.m3u8
Sky Cinema Action UK,http://192.168.3.53:8080/hls/8521533234777422034.m3u8
Sky Cinema Comedy UK,http://192.168.3.53:8080/hls/-5732643601171755091.m3u8
Sky Cinema Thriller UK,http://192.168.3.53:8080/hls/-8933421192555549931.m3u8
Sky Cinema Drama UK,http://192.168.3.53:8080/hls/-7276762633430777381.m3u8
Sky Cinema Sci-Fi & Horror UK,http://192.168.3.53:8080/hls/-1288368489463371017.m3u8
Sky Cinema Animation UK,http://192.168.3.53:8080/hls/804511903232276474.m3u8
Sky Atlantic UK,http://192.168.3.53:8080/hls/683958375462887419.m3u8
Sky Witness UK,http://192.168.3.53:8080/hls/-2952184814472154294.m3u8
Sky Comedy UK,http://192.168.3.53:8080/hls/8608453184009725992.m3u8
Sky Sci-Fi UK,http://192.168.3.53:8080/hls/-989090058323250064.m3u8
Sky One UK,http://192.168.3.53:8080/hls/8767183437414532382.m3u8
Sky Arts UK,http://192.168.3.53:8080/hls/-340724300111201867.m3u8
BBC America,http://192.168.3.53:8080/hls/4174121417859782496.m3u8
BritBox Mysteries UK,http://192.168.3.53:8080/hls/-7551945154883666740.m3u8

英国综合,#genre#
ITV2 UK,http://192.168.3.53:8080/hls/3084813418029066880.m3u8
ITV3 UK,http://192.168.3.53:8080/hls/-4308899777441712879.m3u8
ITV4 UK,http://192.168.3.53:8080/hls/6939613877996287357.m3u8
Channel 4 UK,http://192.168.3.53:8080/hls/-691166673403593427.m3u8
Channel 5 UK,http://192.168.3.53:8080/hls/-7964125672289636373.m3u8
More4 UK,http://192.168.3.53:8080/hls/-8508923691193163987.m3u8
E4 UK,http://192.168.3.53:8080/hls/-5923625586246628026.m3u8
BBC One UK,http://192.168.3.53:8080/hls/7927892653770655690.m3u8
BBC Two UK,http://192.168.3.53:8080/hls/-5733694341666976012.m3u8
BBC Three UK,http://192.168.3.53:8080/hls/917492702146784138.m3u8
BBC Four UK,http://192.168.3.53:8080/hls/7826381387310202158.m3u8
BBC Comedy UK,http://192.168.3.53:8080/hls/5361002203061464103.m3u8
BBC Drama UK,http://192.168.3.53:8080/hls/6291487955165343990.m3u8
Sky Documentaries UK,http://192.168.3.53:8080/hls/-6237755114912630860.m3u8
Sky History UK,http://192.168.3.53:8080/hls/1264748385341298582.m3u8
Sky History 2 UK,http://192.168.3.53:8080/hls/6356758257163713332.m3u8
Sky Crime UK,http://192.168.3.53:8080/hls/6338374083562139190.m3u8
Sky Nature UK,http://192.168.3.53:8080/hls/-5938929851745305606.m3u8

加拿大体育,#genre#
TSN1 CA,http://192.168.3.53:8080/hls/-1870977717681829861.m3u8
TSN2 CA,http://192.168.3.53:8080/hls/5875649475741160875.m3u8
TSN3 CA,http://192.168.3.53:8080/hls/-5331893967735331381.m3u8
TSN4 CA,http://192.168.3.53:8080/hls/-8642388050300719693.m3u8
TSN5 CA,http://192.168.3.53:8080/hls/-8760884381092569492.m3u8
Sportsnet Ontario CA,http://192.168.3.53:8080/hls/-1339589481575951000.m3u8
Sportsnet East CA,http://192.168.3.53:8080/hls/8475026535129779113.m3u8
Sportsnet West CA,http://192.168.3.53:8080/hls/2457825484732174446.m3u8
Sportsnet Pacific CA,http://192.168.3.53:8080/hls/-1606054090628844023.m3u8
Sportsnet ONE CA,http://192.168.3.53:8080/hls/-5365808467154929006.m3u8
Sportsnet 360 CA,http://192.168.3.53:8080/hls/-3407920785995603849.m3u8
Sportsnet World CA,http://192.168.3.53:8080/hls/-179227488611433693.m3u8

加拿大综合,#genre#
CTV Toronto CA,http://192.168.3.53:8080/hls/-3448361550406504277.m3u8
CTV2 Vancouver CA,http://192.168.3.53:8080/hls/-7676325707344554538.m3u8
CBC Toronto CA,http://192.168.3.53:8080/hls/-5463148601758078676.m3u8
CBC Vancouver CA,http://192.168.3.53:8080/hls/7056196202122158009.m3u8
CityNews Toronto CA,http://192.168.3.53:8080/hls/-563410294856545713.m3u8
CityNews Vancouver CA,http://192.168.3.53:8080/hls/9221103384993245288.m3u8
Global News Toronto CA,http://192.168.3.53:8080/hls/-1117494717854283037.m3u8
Global News National CA,http://192.168.3.53:8080/hls/3274129425359906729.m3u8
Global News BC CA,http://192.168.3.53:8080/hls/3557932511866245252.m3u8
The Weather Network CA,http://192.168.3.53:8080/hls/-5742389197134239751.m3u8
Crave 1 CA,http://192.168.3.53:8080/hls/5244636096086000192.m3u8
Crave 2 CA,http://192.168.3.53:8080/hls/-4510476743129272278.m3u8
Crave 3 CA,http://192.168.3.53:8080/hls/2051501018631857759.m3u8
Crave 4 CA,http://192.168.3.53:8080/hls/5773642871974287428.m3u8
CTV Comedy Channel CA,http://192.168.3.53:8080/hls/-8577311468231607542.m3u8
CTV Drama Channel CA,http://192.168.3.53:8080/hls/-2536432206229170199.m3u8
CTV Life Channel CA,http://192.168.3.53:8080/hls/-5068249957552262811.m3u8
CTV Sci-Fi Channel CA,http://192.168.3.53:8080/hls/552418988466603457.m3u8

加拿大4K,#genre#
Love Nature 4K CA,http://192.168.3.53:8080/hls/6920854549976942350.m3u8
Sportsnet 4K CA,http://192.168.3.53:8080/hls/-3740012638775495776.m3u8
Sportsnet One 4K CA,http://192.168.3.53:8080/hls/-4790268527457116410.m3u8
TSN 4K CA,http://192.168.3.53:8080/hls/-5443169323651913199.m3u8

欧洲体育,#genre#
Sport TV 1 PT,http://192.168.3.53:8080/hls/-7296423761047009142.m3u8
Sport TV 2 PT,http://192.168.3.53:8080/hls/-7194524264756839563.m3u8
Sport TV 3 PT,http://192.168.3.53:8080/hls/4576194538439106245.m3u8
Sport TV 4 PT,http://192.168.3.53:8080/hls/407462226654260584.m3u8
Sport TV 5 PT,http://192.168.3.53:8080/hls/-7033442892320592845.m3u8
Sport TV 6 PT,http://192.168.3.53:8080/hls/1901909004608169143.m3u8
Sport TV+ PT,http://192.168.3.53:8080/hls/-6692099426630632031.m3u8
Cosmote Sport 1 GR,http://192.168.3.53:8080/hls/4386893788228389225.m3u8
Cosmote Sport 2 GR,http://192.168.3.53:8080/hls/-1838933688851430999.m3u8
Cosmote Sport 3 GR,http://192.168.3.53:8080/hls/3674400262784279244.m3u8
Cosmote Sport 4 GR,http://192.168.3.53:8080/hls/-2132509536839648896.m3u8
Cosmote Sport 5 GR,http://192.168.3.53:8080/hls/-8737550112490692023.m3u8
Cosmote Sport 6 GR,http://192.168.3.53:8080/hls/3952871653469196816.m3u8
Cosmote Sport 7 GR,http://192.168.3.53:8080/hls/-7071857270318172882.m3u8
Cosmote Sport 8 GR,http://192.168.3.53:8080/hls/-4678475484800210500.m3u8
Cosmote Sport 9 GR,http://192.168.3.53:8080/hls/-7084686613284828176.m3u8

澳洲体育,#genre#
Fox Sports 501 AU,http://192.168.3.53:8080/hls/-8549106909197083530.m3u8
Fox Sports 502 AU,http://192.168.3.53:8080/hls/7636507960037953747.m3u8
Fox Sports 503 AU,http://192.168.3.53:8080/hls/6950686933483312672.m3u8
Fox Sports 504 AU,http://192.168.3.53:8080/hls/929347183393171728.m3u8
Fox Sports 505 AU,http://192.168.3.53:8080/hls/-2504557811364428869.m3u8
Fox Sports 506 AU,http://192.168.3.53:8080/hls/-833891222867000663.m3u8
Fox Sports 507 AU,http://192.168.3.53:8080/hls/-6187110079110077883.m3u8

新西兰体育,#genre#
SKY Sport 1 NZ,http://192.168.3.53:8080/hls/-4752556866928936917.m3u8
SKY Sport 2 NZ,http://192.168.3.53:8080/hls/5248740315495605530.m3u8
SKY Sport 3 NZ,http://192.168.3.53:8080/hls/3762547113761557059.m3u8
SKY Sport 4 NZ,http://192.168.3.53:8080/hls/-4997428128843808506.m3u8
SKY Sport 5 NZ,http://192.168.3.53:8080/hls/6273954953481583766.m3u8
SKY Sport 6 NZ,http://192.168.3.53:8080/hls/6447757169519097159.m3u8
